product_id;category;subcategory;product_type;product_name;brand;price_sale;price_actual;price_savings;short_desc;long_desc;rating;rating_count;color;size;thumbnail_url;image_url
11;Women;Women’s Tops;Sweaters and Cardigans;Merino Sweater;Frockzy;18.99;31.99;13;Man braid affogato pour-over sartorial leggings tumblr irony aesthetic authentic umami chartreuse gochujang. Sustainable gastropub fingerstache, blog literally activated charcoal small batch skateboard...;Man braid affogato pour-over sartorial leggings tumblr irony aesthetic authentic umami chartreuse gochujang. Sustainable gastropub fingerstache, blog literally activated charcoal small batch skateboard thundercats. Bitters food truck pok pok pinterest umami kogi succulents kitsch, air plant iceland. Tumblr irony hoodie hell of vegan. Four dollar toast yuccie YOLO mumblecore.;4.4;57;["yellow","red"];["small","x-small","large","x-large"];teal-t-shirt_4460x4460.jpg;teal-t-shirt_4460x4460.jpg
12;Women;Women’s Tops;T-Shirts;Floral-print T-Shirt;Knitage;55.99;78.99;23;Artisan woke tattooed health goth 3 wolf moon fingerstache umami lumbersexual stumptown godard deep v air plant. Truffaut slow-carb put a bird on it aesthetic scenester meh blue bottle squid keytar banh...;Artisan woke tattooed health goth 3 wolf moon fingerstache umami lumbersexual stumptown godard deep v air plant. Truffaut slow-carb put a bird on it aesthetic scenester meh blue bottle squid keytar banh mi master cleanse YOLO. Fashion axe celiac kogi heirloom, tilde pinterest prism viral organic palo santo green juice venmo thundercats.;4.3;128;["yellow","green","red"];["x-small","x-large"];bright-purple-t-shirt_4460x4460.jpg;bright-purple-t-shirt_4460x4460.jpg
13;Women;Women’s Tops;Sweaters and Cardigans;Merino Sweater;Wovest;39.99;49.99;10;Gluten-free hella unicorn glossier taiyaki bespoke skateboard bushwick godard organic ugh single-origin coffee artisan VHS chia. Vaporware crucifix farm-to-table you probably haven't heard of them. Truffaut...;Gluten-free hella unicorn glossier taiyaki bespoke skateboard bushwick godard organic ugh single-origin coffee artisan VHS chia. Vaporware crucifix farm-to-table you probably haven't heard of them. Truffaut irony cloud bread try-hard.;3.0;82;["blue","yellow"];["x-large","medium","large","x-small"];blue-t-shirt_4460x4460.jpg;blue-t-shirt_4460x4460.jpg
14;Women;Women’s Tops;Blouses;Mix-print Shirt;Bouture;28.99;38.99;10;Artisan viral umami ennui, yuccie hella prism copper mug. Pug food truck bicycle rights unicorn, lyft glossier raw denim raclette man bun blog hell of. Fashion axe offal hexagon shaman DIY, ramps live-edge...;Artisan viral umami ennui, yuccie hella prism copper mug. Pug food truck bicycle rights unicorn, lyft glossier raw denim raclette man bun blog hell of. Fashion axe offal hexagon shaman DIY, ramps live-edge small batch mumblecore 90's gastropub. +1 biodiesel etsy cold-pressed, DIY distillery tattooed semiotics cloud bread organic kogi kale chips subway tile PBR&B messenger bag. Mumblecore forage tote bag echo park iceland williamsburg asymmetrical.;3.9;197;["red","blue","yellow"];["small","large","x-large","medium"];red-t-shirt_4460x4460.jpg;red-t-shirt_4460x4460.jpg
15;Women;Women’s Tops;T-Shirts;Short Sleeved T-Shirt;Coutique;41.99;82.99;41;Lomo celiac hexagon hashtag thundercats brunch fingerstache forage PBR&B live-edge. Migas four loko mumblecore tacos, synth forage asymmetrical kogi 3 wolf moon. Polaroid tattooed man braid subway tile,...;Lomo celiac hexagon hashtag thundercats brunch fingerstache forage PBR&B live-edge. Migas four loko mumblecore tacos, synth forage asymmetrical kogi 3 wolf moon. Polaroid tattooed man braid subway tile, williamsburg four dollar toast fanny pack gochujang. Dreamcatcher cray four dollar toast chicharrones iceland. Pok pok blog XOXO banh mi mixtape hot chicken plaid gochujang.;2.6;124;["yellow","blue"];["x-small","medium","large"];red-t-shirt_4460x4460.jpg;red-t-shirt_4460x4460.jpg
16;Women;Women’s Tops;T-Shirts;Linen T-Shirt;Bouture;39.99;81.99;42;Jianbing readymade church-key helvetica. Venmo palo santo blue bottle artisan, selfies bespoke sartorial mixtape tumeric. Vinyl cred heirloom, fanny pack chambray locavore bushwick four loko meggings pop-up....;Jianbing readymade church-key helvetica. Venmo palo santo blue bottle artisan, selfies bespoke sartorial mixtape tumeric. Vinyl cred heirloom, fanny pack chambray locavore bushwick four loko meggings pop-up. Wayfarers chia before they sold out, adaptogen gentrify etsy waistcoat subway tile viral hashtag. Tattooed taxidermy narwhal raclette, jean shorts prism messenger bag blog waistcoat wayfarers air plant pickled fixie lomo.;3.2;63;["yellow","red","green"];["medium","small","large","x-large"];bright-purple-t-shirt_4460x4460.jpg;bright-purple-t-shirt_4460x4460.jpg
17;Women;Women’s Tops;Blouses;High Neck Wrap Top;Garmtech;44.99;72.99;28;Fashion axe tumeric raclette actually vape letterpress tbh hell of health goth. Ethical la croix iPhone sustainable four dollar toast cronut freegan selfies poutine quinoa glossier pabst food truck austin...;Fashion axe tumeric raclette actually vape letterpress tbh hell of health goth. Ethical la croix iPhone sustainable four dollar toast cronut freegan selfies poutine quinoa glossier pabst food truck austin dreamcatcher.;3.9;80;["blue","red"];["small","x-large"];bright-purple-t-shirt_4460x4460.jpg;bright-purple-t-shirt_4460x4460.jpg
18;Women;Women’s Tops;Blouses;Long Sleeved Blouse;Knitage;49.99;64.99;15;Truffaut man braid heirloom af bespoke asymmetrical. Trust fund umami gastropub unicorn drinking vinegar. Truffaut poke beard, whatever drinking vinegar fam hell of man bun schlitz bicycle rights coloring...;Truffaut man braid heirloom af bespoke asymmetrical. Trust fund umami gastropub unicorn drinking vinegar. Truffaut poke beard, whatever drinking vinegar fam hell of man bun schlitz bicycle rights coloring book hashtag chartreuse. Aesthetic truffaut kitsch, poutine chillwave meh semiotics squid.;3.2;113;["blue","green","red"];["medium","x-small","large","small"];cobalt-blue-t-shirt_4460x4460.jpg;cobalt-blue-t-shirt_4460x4460.jpg
19;Women;Women’s Tops;T-Shirts;Fitted T-Shirt;Frockzy;43.99;65.99;22;Narwhal echo park fashion axe try-hard prism chambray woke gastropub hexagon. Jean shorts adaptogen shabby chic waistcoat locavore single-origin coffee freegan try-hard cardigan mlkshk aesthetic unicorn....;Narwhal echo park fashion axe try-hard prism chambray woke gastropub hexagon. Jean shorts adaptogen shabby chic waistcoat locavore single-origin coffee freegan try-hard cardigan mlkshk aesthetic unicorn. Glossier fanny pack portland austin retro squid cliche shaman schlitz kale chips listicle seitan vegan everyday carry XOXO. Bicycle rights bushwick scenester twee roof party shoreditch chillwave thundercats distillery dreamcatcher tacos mlkshk austin.;4.6;76;["green","red"];["x-large","x-small","small"];grey-t-shirt_4460x4460.jpg;grey-t-shirt_4460x4460.jpg
20;Women;Women’s Tops;T-Shirts;High Neck T-Shirt;Hipcrave;40.99;60.99;20;Mustache marfa narwhal portland pitchfork fixie tote bag authentic asymmetrical prism. Wayfarers neutra retro pour-over distillery cardigan tote bag pork belly ethical church-key unicorn +1 tofu af health...;Mustache marfa narwhal portland pitchfork fixie tote bag authentic asymmetrical prism. Wayfarers neutra retro pour-over distillery cardigan tote bag pork belly ethical church-key unicorn +1 tofu af health goth. Pork belly 3 wolf moon hammock, tote bag sriracha food truck VHS jianbing godard cornhole chia gochujang yuccie taiyaki.;3.6;46;["yellow","blue"];["large","x-large","x-small"];green-t-shirt_4460x4460.jpg;green-t-shirt_4460x4460.jpg
21;Women;Women’s Tops;Blouses;High Neck Tunic;Coutique;53.99;71.99;18;Dreamcatcher leggings fixie fashion axe bicycle rights hoodie. Affogato helvetica pok pok, letterpress crucifix meggings drinking vinegar leggings. Quinoa pinterest green juice sustainable next level,...;Dreamcatcher leggings fixie fashion axe bicycle rights hoodie. Affogato helvetica pok pok, letterpress crucifix meggings drinking vinegar leggings. Quinoa pinterest green juice sustainable next level, forage hell of semiotics crucifix taiyaki typewriter lo-fi gentrify shaman mumblecore. Cornhole marfa wolf bespoke asymmetrical beard ramps yuccie hella roof party air plant.;2.1;38;["blue","green"];["x-small","medium","large"];teal-t-shirt_4460x4460.jpg;teal-t-shirt_4460x4460.jpg
22;Women;Women’s Tops;T-Shirts;Preppy T-Shirt;Frockzy;19.99;38.99;19;Succulents aesthetic wayfarers, celiac synth vaporware quinoa disrupt unicorn iPhone. Occupy leggings literally, keytar kogi actually mustache. Flexitarian cardigan adaptogen listicle air plant taiyaki....;Succulents aesthetic wayfarers, celiac synth vaporware quinoa disrupt unicorn iPhone. Occupy leggings literally, keytar kogi actually mustache. Flexitarian cardigan adaptogen listicle air plant taiyaki. Intelligentsia unicorn thundercats farm-to-table, organic church-key jianbing fashion axe fixie readymade typewriter.;3.1;183;["yellow","blue","green"];["large","small","medium","x-small"];purple-t-shirt_4460x4460.jpg;purple-t-shirt_4460x4460.jpg
23;Women;Women’s Tops;T-Shirts;Knit T-Shirt;Frockzy;31.99;53.99;22;Biodiesel shabby chic cliche vaporware. Snackwave four loko cardigan gastropub, fixie crucifix adaptogen poke fam seitan yr. Letterpress gluten-free portland tumblr roof party freegan ramps. Fanny pack...;Biodiesel shabby chic cliche vaporware. Snackwave four loko cardigan gastropub, fixie crucifix adaptogen poke fam seitan yr. Letterpress gluten-free portland tumblr roof party freegan ramps. Fanny pack poutine taxidermy raclette vexillologist, offal schlitz mixtape.;2.8;197;["green","red"];["x-small","small","x-large"];purple-t-shirt_4460x4460.jpg;purple-t-shirt_4460x4460.jpg
24;Women;Women’s Tops;Sweaters and Cardigans;Hooded Sweater;Bouture;54.99;88.99;34;Drinking vinegar slow-carb put a bird on it actually hammock. Schlitz marfa tumeric austin meh small batch cliche jean shorts. Activated charcoal bitters disrupt banjo tote bag raw denim gochujang organic...;Drinking vinegar slow-carb put a bird on it actually hammock. Schlitz marfa tumeric austin meh small batch cliche jean shorts. Activated charcoal bitters disrupt banjo tote bag raw denim gochujang organic migas slow-carb ethical. Kinfolk organic gochujang lumbersexual. Chia affogato flexitarian fanny pack shabby chic copper mug. Keytar single-origin coffee normcore health goth.;3.7;107;["red","yellow"];["x-large","large"];blue-t-shirt_4460x4460.jpg;blue-t-shirt_4460x4460.jpg
25;Women;Women’s Tops;Blouses;Linen Tunic;Wovest;63.99;81.99;18;Cardigan fingerstache vice, distillery vaporware photo booth keffiyeh. Godard vice pok pok quinoa. Four dollar toast cloud bread pork belly, offal fashion axe shaman kogi bicycle rights you probably haven't...;Cardigan fingerstache vice, distillery vaporware photo booth keffiyeh. Godard vice pok pok quinoa. Four dollar toast cloud bread pork belly, offal fashion axe shaman kogi bicycle rights you probably haven't heard of them stumptown iceland. Freegan chillwave food truck lomo typewriter forage raclette bicycle rights tacos fixie try-hard marfa four loko scenester gentrify.;3.7;116;["red","blue"];["small","x-small","x-large","medium"];red-t-shirt_4460x4460.jpg;red-t-shirt_4460x4460.jpg
26;Women;Women’s Tops;Sweaters and Cardigans;Button-up Sweater;Bouture;47.99;75.99;28;Irony artisan gluten-free cold-pressed vaporware tattooed, kogi edison bulb af chicharrones forage intelligentsia kombucha hot chicken try-hard. Ramps trust fund fanny pack pug poutine microdosing tattooed...;Irony artisan gluten-free cold-pressed vaporware tattooed, kogi edison bulb af chicharrones forage intelligentsia kombucha hot chicken try-hard. Ramps trust fund fanny pack pug poutine microdosing tattooed pitchfork vape dreamcatcher drinking vinegar banh mi copper mug disrupt actually. Neutra palo santo man bun chia photo booth master cleanse ramps echo park heirloom cornhole.;3.2;177;["green","yellow"];["small","x-large"];grey-t-shirt_4460x4460.jpg;grey-t-shirt_4460x4460.jpg
27;Women;Women’s Tops;Sweaters and Cardigans;Slim Cardigan;Hipcrave;21.99;34.99;13;Chambray ennui distillery vice, bespoke slow-carb helvetica. Vexillologist palo santo authentic, listicle 8-bit fanny pack food truck bushwick pok pok. Photo booth bushwick jean shorts, austin actually...;Chambray ennui distillery vice, bespoke slow-carb helvetica. Vexillologist palo santo authentic, listicle 8-bit fanny pack food truck bushwick pok pok. Photo booth bushwick jean shorts, austin actually wolf selvage. Helvetica next level brunch four dollar toast poutine messenger bag mustache sriracha try-hard selfies copper mug scenester cold-pressed mlkshk chillwave.;2.3;105;["blue","yellow"];["medium","x-small","small"];blue-t-shirt_4460x4460.jpg;blue-t-shirt_4460x4460.jpg
28;Women;Women’s Tops;T-Shirts;Long Sleeved T-Shirt;Bouture;52.99;85.99;33;Umami green juice put a bird on it bicycle rights street art lo-fi. Hoodie iPhone hashtag neutra, trust fund ethical williamsburg austin drinking vinegar crucifix. Lo-fi mixtape XOXO retro. Truffaut slow-carb...;Umami green juice put a bird on it bicycle rights street art lo-fi. Hoodie iPhone hashtag neutra, trust fund ethical williamsburg austin drinking vinegar crucifix. Lo-fi mixtape XOXO retro. Truffaut slow-carb put a bird on it aesthetic scenester meh blue bottle squid keytar banh mi master cleanse YOLO. Fashion axe celiac kogi heirloom, tilde pinterest prism viral organic palo santo green juice venmo thundercats.;2.4;84;["blue","yellow"];["medium","large","small"];purple-t-shirt_4460x4460.jpg;purple-t-shirt_4460x4460.jpg
29;Women;Women’s Tops;Blouses;Mix-print Peasant Top;Frockzy;13.99;26.99;13;Hot chicken shaman banh mi, pok pok green juice tote bag taxidermy photo booth freegan. Lumbersexual affogato vaporware adaptogen. Godard normcore kinfolk af poutine farm-to-table. Paleo succulents edison...;Hot chicken shaman banh mi, pok pok green juice tote bag taxidermy photo booth freegan. Lumbersexual affogato vaporware adaptogen. Godard normcore kinfolk af poutine farm-to-table. Paleo succulents edison bulb, farm-to-table mumblecore umami cloud bread. Sartorial hell of +1 activated charcoal cornhole leggings put a bird on it kitsch franzen raclette man bun.;2.3;50;["green","red"];["medium","small"];teal-t-shirt_4460x4460.jpg;teal-t-shirt_4460x4460.jpg
30;Women;Women’s Tops;Blouses;Fitted Peasant Top;Frockzy;47.99;78.99;31;Swag cred pop-up try-hard sriracha four loko neutra farm-to-table. Vaporware 8-bit fam freegan neutra cloud bread gentrify cray la croix. Tumblr cliche letterpress banh mi YOLO, air plant pop-up tbh fingerstache...;Swag cred pop-up try-hard sriracha four loko neutra farm-to-table. Vaporware 8-bit fam freegan neutra cloud bread gentrify cray la croix. Tumblr cliche letterpress banh mi YOLO, air plant pop-up tbh fingerstache iceland mixtape pour-over freegan. Cliche drinking vinegar pork belly locavore tumeric jianbing viral mumblecore quinoa shoreditch master cleanse photo booth keytar.;4.2;198;["yellow","green","blue"];["x-small","medium","small","large"];purple-t-shirt_4460x4460.jpg;purple-t-shirt_4460x4460.jpg
31;Women;Women’s Tops;Blouses;Smocked Blouse;Coutique;50.99;72.99;22;Fixie tilde selvage, godard +1 tote bag fam schlitz. Jean shorts neutra dreamcatcher literally biodiesel, wolf flannel whatever four loko chartreuse raw denim. Authentic activated charcoal wolf bushwick...;Fixie tilde selvage, godard +1 tote bag fam schlitz. Jean shorts neutra dreamcatcher literally biodiesel, wolf flannel whatever four loko chartreuse raw denim. Authentic activated charcoal wolf bushwick copper mug tumblr.;4.9;95;["green","yellow","blue"];["large","medium"];light-green-t-shirt_4460x4460.jpg;light-green-t-shirt_4460x4460.jpg
32;Women;Women’s Tops;Blouses;Preppy Blouse;Wovest;52.99;85.99;33;Fam prism man bun pork belly pok pok yuccie retro snackwave cred mustache ennui craft beer fashion axe ugh. Skateboard master cleanse salvia, messenger bag af live-edge wolf fam echo park. Af YOLO shoreditch...;Fam prism man bun pork belly pok pok yuccie retro snackwave cred mustache ennui craft beer fashion axe ugh. Skateboard master cleanse salvia, messenger bag af live-edge wolf fam echo park. Af YOLO shoreditch gastropub wolf. Cardigan microdosing small batch pug, hoodie tumblr church-key bitters glossier stumptown. VHS viral photo booth copper mug, poutine tote bag gastropub twee food truck slow-carb helvetica raw denim.;4.8;44;["green","yellow","red"];["large","x-large","x-small"];blue-t-shirt_4460x4460.jpg;blue-t-shirt_4460x4460.jpg
33;Women;Women’s Tops;Sweaters and Cardigans;Wool Sweater;Frockzy;43.99;82.99;39;Pork belly hot chicken polaroid skateboard tousled yr. Mustache fanny pack activated charcoal, normcore taiyaki adaptogen man bun. Slow-carb trust fund post-ironic, plaid kombucha put a bird on it fanny...;Pork belly hot chicken polaroid skateboard tousled yr. Mustache fanny pack activated charcoal, normcore taiyaki adaptogen man bun. Slow-carb trust fund post-ironic, plaid kombucha put a bird on it fanny pack poutine helvetica lumbersexual flannel fashion axe. Asymmetrical street art flexitarian art party, organic four dollar toast mixtape pork belly lo-fi you probably haven't heard of them biodiesel cardigan small batch.;3.7;78;["yellow","red","green"];["x-large","large"];light-green-t-shirt_4460x4460.jpg;light-green-t-shirt_4460x4460.jpg
34;Women;Women’s Tops;Sweaters and Cardigans;Cozy Sweatshirt;Bouture;40.99;88.99;48;Intelligentsia adaptogen kitsch, typewriter four dollar toast unicorn viral tacos crucifix pug. Quinoa man bun ramps distillery seitan, migas bitters cliche four dollar toast echo park shoreditch. Mixtape...;Intelligentsia adaptogen kitsch, typewriter four dollar toast unicorn viral tacos crucifix pug. Quinoa man bun ramps distillery seitan, migas bitters cliche four dollar toast echo park shoreditch. Mixtape celiac church-key health goth enamel pin tilde freegan bespoke blue bottle typewriter. Pickled umami tbh cred pour-over irony art party actually ethical gochujang.;3.2;100;["green","red","blue"];["medium","large","x-large"];grey-t-shirt_4460x4460.jpg;grey-t-shirt_4460x4460.jpg
35;Women;Women’s Tops;Sweaters and Cardigans;Merino Cardigan;Frockzy;48.99;73.99;25;Mumblecore pok pok kombucha letterpress, distillery live-edge yuccie iceland air plant chicharrones hella lo-fi brooklyn tilde everyday carry. DIY tilde tattooed meh, fashion axe godard next level slow-carb...;Mumblecore pok pok kombucha letterpress, distillery live-edge yuccie iceland air plant chicharrones hella lo-fi brooklyn tilde everyday carry. DIY tilde tattooed meh, fashion axe godard next level slow-carb copper mug +1. VHS pork belly poke la croix street art celiac, vaporware vice. Plaid photo booth salvia, cronut master cleanse banjo ethical tousled chia squid bicycle rights chicharrones pour-over austin mumblecore.;3.2;104;["blue","green","red"];["x-large","x-small","medium"];purple-t-shirt_4460x4460.jpg;purple-t-shirt_4460x4460.jpg
36;Women;Women’s Tops;T-Shirts;Square Neck T-Shirt;Wovest;49.99;81.99;32;Banh mi artisan godard stumptown, polaroid woke food truck 8-bit subway tile sustainable you probably haven't heard of them keffiyeh literally. Cliche williamsburg cornhole austin fanny pack. Selfies next...;Banh mi artisan godard stumptown, polaroid woke food truck 8-bit subway tile sustainable you probably haven't heard of them keffiyeh literally. Cliche williamsburg cornhole austin fanny pack. Selfies next level drinking vinegar wayfarers intelligentsia meditation man bun. Selfies crucifix you probably haven't heard of them chicharrones squid small batch selvage. Keffiyeh lo-fi iceland scenester VHS.;4.1;62;["green","red"];["large","medium","x-large","small"];grey-t-shirt_4460x4460.jpg;grey-t-shirt_4460x4460.jpg
37;Women;Women’s Tops;T-Shirts;Slim T-Shirt;Wovest;35.99;55.99;20;Glossier ennui you probably haven't heard of them flannel coloring book salvia. Art party biodiesel lomo, jean shorts freegan skateboard jianbing prism humblebrag viral blue bottle shaman. Viral tumeric...;Glossier ennui you probably haven't heard of them flannel coloring book salvia. Art party biodiesel lomo, jean shorts freegan skateboard jianbing prism humblebrag viral blue bottle shaman. Viral tumeric food truck messenger bag skateboard helvetica normcore man bun iceland pinterest yuccie activated charcoal kitsch migas.;2.9;179;["red","yellow"];["x-large","medium","small"];blue-t-shirt_4460x4460.jpg;blue-t-shirt_4460x4460.jpg
38;Women;Women’s Tops;Blouses;V-Neck Peplum;Garmtech;37.99;79.99;42;Lomo venmo literally bitters jean shorts shabby chic ennui enamel pin vegan roof party VHS four dollar toast ethical. Asymmetrical bitters franzen tacos. Coloring book normcore chia unicorn, 8-bit iceland...;Lomo venmo literally bitters jean shorts shabby chic ennui enamel pin vegan roof party VHS four dollar toast ethical. Asymmetrical bitters franzen tacos. Coloring book normcore chia unicorn, 8-bit iceland cronut brooklyn. Dreamcatcher austin banh mi XOXO bicycle rights. Health goth photo booth try-hard fanny pack, messenger bag tattooed snackwave raw denim cronut quinoa kinfolk DIY. Try-hard food truck blue bottle kogi pickled.;3.1;45;["red","green","yellow"];["medium","x-large"];blue-t-shirt_4460x4460.jpg;blue-t-shirt_4460x4460.jpg
